time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
3180	2.67659344E7	5.500479501781956E7	0.0	0.0	1744024.9	5232074.699999999	2.189313E7	4.276130908572871E7	1499734.5	4262339.02068142	1629045.0	4629847.52964339	3	1	0	0.3	0.45825756949558405	240	107	0	24.0	41.83061080118243
3240	4.34069059E7	9.128396134250647E7	0.0	0.0	1436255.8	4308767.3999999985	3.32100675E7	6.614656019635967E7	4199256.6	1.2208983787188407E7	4561326.0	1.3261669977986332E7	3	1	0	0.3	0.45825756949558405	254	107	0	25.4	42.17392559390221
3300	5.56673114E7	1.4666385788598186E8	0.0	0.0	1641435.2	4924305.6	3.9917925E7	9.985363899411605E7	6762439.2	2.0196588223099567E7	7345512.0	2.1937983731053226E7	3	1	0	0.3	0.45825756949558405	270	107	0	27.0	43.06738905482894
3360	5.63973572E7	1.2824699573086442E8	0.0	0.0	718127.9	2154383.6999999993	4.02059925E7	8.244398838334276E7	7416868.8	2.18297360651073E7	8056368.0	2.3711945273101825E7	3	1	0	0.3	0.45825756949558405	277	107	0	27.7	43.618917914134464
3420	2.50646799E7	7.214512788938291E7	0.0	0.0	410358.8	1231076.4	1.55144925E7	4.357622271527365E7	4381042.6	1.3112858134843793E7	4758786.0	1.4243478415864013E7	3	1	0	0.3	0.45825756949558405	281	107	0	28.1	43.97601619064647
3480	6.13561199E7	1.444533344840179E8	0.0	0.0	615538.2	1846614.5999999996	4.5020835E7	9.756548707103427E7	7535029.7	2.248415972418357E7	8184717.0	2.4422794819938216E7	3	1	0	0.3	0.45825756949558405	287	107	0	28.7	44.56691598035475
3540	5.66465828E7	1.3286627604358912E8	0.0	0.0	615538.2	1535422.03524769	4.082328E7	9.237243090975237E7	7289618.6	1.8748685746634185E7	7918146.0	2.0365239828866832E7	3	1	0	0.3	0.45825756949558405	293	108	0	29.3	45.28145315689416
3600	5.33900097E7	1.2894268943956323E8	0.0	0.0	718127.9	2154383.6999999993	3.9094875E7	8.881735392783752E7	6507938.8	1.880792077903112E7	7069068.0	2.0429582239707597E7	3	1	0	0.3	0.45825756949558405	300	108	0	30.0	46.1063986882515
3660	3.28282813E7	8.134893032750374E7	0.0	0.0	307769.1	923307.2999999998	2.51441775E7	5.9405297929797955E7	3535737.7	1.0278262265880512E7	3840597.0	1.1164477281092966E7	3	1	0	0.3	0.45825756949558405	303	108	0	30.3	46.48451355021369
3720	3.97239272E7	9.34388432182189E7	0.0	0.0	102589.7	307769.1	3.2510475E7	7.326208414383425E7	3408487.5	9837902.433542805	3702375.0	1.0686148628207685E7	3	1	0	0.3	0.45825756949558405	304	108	0	30.4	46.61373188235415
3780	8.13099941E7	1.9707518953536493E8	0.0	0.0	410358.8	940250.1315456225	6.172875E7	1.4563113310427523E8	9189282.3	2.428440690963746E7	9981603.0	2.637826338869337E7	3	1	0	0.3	0.45825756949558405	308	109	0	30.8	47.17584127495767
3840	5.97371422E7	1.5650315781457412E8	0.0	0.0	307769.1	923307.2999999998	4.7160765E7	1.2056027859336136E8	5880777.1	1.6898475441073664E7	6387831.0	1.8355500206805833E7	3	1	0	0.3	0.45825756949558405	311	109	0	31.1	47.58455631820055
3900	6.54954552E7	1.494366547203454E8	0.0	0.0	102589.7	307769.1	5.47739775E7	1.1976147493673283E8	5090008.0	1.43520593853613E7	5528880.0	1.5589526400456814E7	3	1	0	0.3	0.45825756949558405	312	109	0	31.2	47.723788617418045
3960	5.46994212E7	1.1112196834192975E8	52643.8	157931.40000000002	307769.1	923307.2999999999	4.77780525E7	9.359465529629913E7	3144897.8	8902708.359382799	3416058.0	9670320.006181594	4	1	0	0.4	0.48989794855663565	315	109	0	31.5	47.535776000818586
4020	5.10485373E7	9.66643919441216E7	0.0	0.0	1231076.4	2745113.2812691787	4.065867E7	7.770738431045002E7	4390131.9	8893688.462026894	4768659.0	9660522.392878607	4	1	0	0.4	0.48989794855663565	327	109	0	32.7	47.505894371119886
4080	7.60600729E7	1.49551608799521E8	0.0	0.0	1333666.1	4000998.3000000007	6.304563E7	1.2542466484315935E8	5599008.8	1.17199254301626E7	6081768.0	1.2730443903490404E7	4	1	0	0.4	0.48989794855663565	340	109	0	34.0	47.09777064787674
4140	4.03092352E7	7.566394252694376E7	0.0	0.0	1128486.7	3058825.065196441	2.979441E7	5.625358595335523E7	4499203.5	8742493.959537579	4887135.0	9496291.558482448	4	1	0	0.4	0.48989794855663565	351	109	0	35.1	47.141170965515904
4200	5.37022349E7	9.572300074534611E7	0.0	0.0	1025897.0	3077691.0	4.181094E7	7.110890029028733E7	5208168.9	1.1973616784010623E7	5657229.0	1.3006009099549677E7	4	1	0	0.4	0.48989794855663565	361	109	0	36.1	47.23441541926818
4260	5.05584563E7	9.303260989636545E7	0.0	0.0	615538.2	1846614.5999999999	3.81483675E7	6.526611353025114E7	5653544.6	1.358044841831404E7	6141006.0	1.4751385390955793E7	4	1	0	0.4	0.48989794855663565	367	109	0	36.7	47.38153648838332
4320	5.8075046E7	1.1135943545930924E8	0.0	0.0	820717.6	2462152.8	4.2880905E7	7.471231558195224E7	6889689.4	1.6956005711433675E7	7483734.0	1.8417990867171805E7	4	1	0	0.4	0.48989794855663565	375	109	0	37.5	47.68280612547881
4380	6.2355382E7	1.1249838478263985E8	0.0	0.0	512948.5	1235343.575359928	4.81895775E7	8.167282575561275E7	6544296.0	1.5258495714363476E7	7108560.0	1.6574117719506519E7	4	1	0	0.4	0.48989794855663565	380	109	0	38.0	48.010415536631214
4440	5.80364659E7	1.1959044459795736E8	0.0	0.0	205179.4	615538.2	4.58850375E7	9.091839064217237E7	5726259.0	1.548695097830391E7	6219990.0	1.682227091291898E7	4	1	0	0.4	0.48989794855663565	382	109	0	38.2	48.11818782955152
4500	6.49872003E7	1.2747964590488918E8	0.0	0.0	205179.4	615538.2	5.23048275E7	1.0116577757695499E8	5980759.4	1.5115743651918534E7	6496434.0	1.6419057251426587E7	4	1	0	0.4	0.48989794855663565	384	109	0	38.4	48.23318359801683
4560	6.73239355E7	1.4855769506168652E8	0.0	0.0	512948.5	1235343.575359928	5.23048275E7	1.1191928352427222E8	6953314.5	1.7211172172188815E7	7552845.0	1.869515835719144E7	4	1	0	0.4	0.48989794855663565	389	109	0	38.9	48.615738192482475
4620	5.57150962E7	1.147036340234024E8	0.0	0.0	307769.1	656894.5945809648	4.39920225E7	8.883707710581733E7	5471758.6	1.2132005952124992E7	5943546.0	1.3178054939910669E7	4	1	0	0.4	0.48989794855663565	392	109	0	39.2	48.88312592296037
