time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
4560	1.156347179E8	1.5973952116851532E8	0.0	0.0	307769.1	470125.0657728111	9.909522E7	1.3455153332565778E8	7780440.8	1.3149939866745673E7	8451288.0	1.4283757418544883E7	8	2	0	0.8	0.8717797887081347	737	192	0	73.7	80.44383133590792
4620	1.041925116E8	1.5342586698009673E8	0.0	0.0	512948.5	1235343.575359928	8.477415E7	1.1785561582523814E8	9062032.1	1.8111353411960684E7	9843381.0	1.9672955259072516E7	8	2	0	0.8	0.8717797887081347	742	192	0	74.2	80.64465264355722
4680	5.70527498E7	9.560753100823559E7	0.0	0.0	102589.7	307769.1	4.81895775E7	7.903518421796274E7	4199256.6	8059170.22124798	4561326.0	8754050.102250043	8	2	0	0.8	0.8717797887081347	743	192	0	74.3	80.66480025389016
4740	8.91025653E7	1.2679810428881264E8	0.0	0.0	205179.4	410358.8	7.64201925E7	1.0597276951211868E8	5980759.4	1.0233986730226625E7	6496434.0	1.111638420863295E7	8	2	0	0.8	0.8717797887081347	745	192	0	74.5	80.7158596559561
4800	5.50212589E7	8.545510026574032E7	0.0	0.0	0.0	0.0	4.9465305E7	7.493616008660872E7	2663164.9	5324817.287038353	2892789.0	5783935.074750494	8	2	0	0.8	0.8717797887081347	745	192	0	74.5	80.7158596559561
4860	5.88690112E7	1.1217511772091074E8	0.0	0.0	0.0	0.0	5.234598E7	1.0162881291235387E8	3126719.2	5565769.603591974	3396312.0	6045662.844912541	8	2	0	0.8	0.8717797887081347	745	192	0	74.5	80.7158596559561
4920	4.91647144E7	7.385550175881462E7	52643.8	157931.40000000002	205179.4	615538.2	4.428009E7	6.718180601382917E7	2217789.2	3820794.044944187	2409012.0	4150231.547614663	9	2	0	0.9	0.8306623862918074	747	192	0	74.7	80.53328504413562
4980	6.09664356E7	7.588192287812194E7	0.0	0.0	1333666.1	4000998.3000000007	5.5555875E7	7.160132924056211E7	1954199.5	2386265.8457772993	2122695.0	2592015.0831592395	9	2	0	0.9	0.8306623862918074	760	192	0	76.0	79.4468375707932
5040	7.37104043E7	8.118573104164875E7	0.0	0.0	1744024.9	4566106.088102234	6.24283425E7	6.909823374279462E7	4571917.9	6147088.953285994	4966119.0	6677104.8634980265	9	2	0	0.9	0.8306623862918074	777	192	0	77.7	78.56595954992213
5100	4.53831908E7	5.07808912751381E7	0.0	0.0	820717.6	2462152.8	3.917718E7	3.975842678314529E7	2581361.2	5855541.23735268	2803932.0	6360419.244208356	9	2	0	0.9	0.8306623862918074	785	192	0	78.5	78.11561943683222
